workerid,Item,response
0,ripped shirts,8
0,stopped cars,9
0,popped eggs,15
0,melted ice cubes,15
0,rolled wheelchairs,15
0,sank marbles,15
0,dissolved carrots,0
0,blew away napkins,15
0,stuck to the wall cakes,15
0,got stained white shirts,15
0,stuck sequins,11
0,fell down card towers,15
0,had the letter Z in them novels,15
0,broke logs,8
0,burnt rocks,0
0,ate the seeds birds,15
0,lit up computers,15
0,honked bus drivers,7
0,exploded balls of tin foil,15
0,exploded gas tanks,15
0,laughed lawyers,7
0,decomposed pinecones,12
0,were green strawberries,4
0,froze chocolate bars,15
0,rhymed poems,8
0,ran out of batteries laptops,15
0,reflected the sunlight mirrors,15
0,landed flat notebooks,15
0,flashed phones,10
0,beeped houses,7
1,rolled toy cars,15
1,laughed lawyers,8
1,stuck sequins,15
1,broke boxes,11
1,rhymed songs,8
1,ripped books,11
1,landed flat pancakes,15
1,exploded fireworks,12
1,lit up computers,15
1,honked bicyclists,8
1,fell down card towers,15
1,melted ice cubes,15
1,stuck to the wall pieces of gum,5
1,exploded eggs,0
1,got stained white carpets,15
1,froze chocolate bars,15
1,had the letter Z in them love notes,4
1,dissolved carrots,0
1,popped balloons,13
1,reflected the sunlight phone screens,15
1,decomposed soda cans,0
1,burnt matches,15
1,blew away napkins,15
1,flashed webcams,5
1,ate the seeds birds,15
1,ran out of batteries bike lights,3
1,sank balloons,0
1,stopped motorcycles,15
1,were green clovers,15
1,beeped houses,0
2,blew away napkins,13
2,burnt books,15
2,ate the seeds dogs,8
2,sank marbles,15
2,fell down shelves,3
2,honked bicyclists,10
2,froze berries,15
2,laughed kids,6
2,melted pencils,6
2,got stained white shirts,15
2,beeped new cars,3
2,popped balloons,15
2,exploded fireworks,11
2,had the letter Z in them love notes,4
2,were green bananas,6
2,rolled toy cars,15
2,landed flat notebooks,6
2,rhymed songs,6
2,reflected the sunlight diamonds,12
2,stuck to the wall pieces of gum,11
2,lit up flashlights,9
2,stopped motorcycles,15
2,exploded CDs,15
2,stuck beads,15
2,flashed webcams,7
2,broke boxes,15
2,dissolved carrots,0
2,decomposed soda cans,15
2,ran out of batteries laptops,15
2,ripped shoes,13
3,popped balloons,14
3,honked taxi drivers,14
3,broke sunglasses,15
3,rolled toy cars,15
3,laughed lawyers,7
3,melted crayons,15
3,froze berries,15
3,were green strawberries,7
3,stuck sequins,14
3,rhymed poems,7
3,blew away napkins,15
3,reflected the sunlight mirrors,15
3,exploded fireworks,13
3,landed flat pancakes,15
3,stopped motorcycles,14
3,sank cups,15
3,stuck to the wall cakes,1
3,lit up computers,14
3,flashed cameras,12
3,ripped books,15
3,got stained white shirts,15
3,fell down card towers,15
3,ran out of batteries phones,12
3,had the letter Z in them birthday cards,1
3,decomposed banana peels,15
3,burnt books,15
3,ate the seeds dogs,12
3,dissolved oreos,0
3,beeped houses,0
3,exploded balls of tin foil,15
4,exploded CDs,15
4,rolled shopping carts,15
4,were green bananas,2
4,melted ice cubes,15
4,stopped bicycles,15
4,dissolved carrots,0
4,broke sunglasses,15
4,rhymed limericks,15
4,honked bus drivers,6
4,stuck to the wall baseballs,0
4,popped eggs,15
4,landed flat pancakes,15
4,froze bottles of hand soap,15
4,sank balloons,0
4,lit up flashlights,14
4,laughed kids,7
4,ripped books,15
4,had the letter Z in them birthday cards,4
4,blew away napkins,15
4,burnt rocks,0
4,exploded fireworks,14
4,got stained white tablecloths,15
4,reflected the sunlight phone screens,15
4,beeped old cars,3
4,ran out of batteries laptops,15
4,stuck beads,14
4,decomposed soda cans,0
4,flashed phones,8
4,fell down block towers,10
4,ate the seeds butterflies,7
5,melted crayons,15
5,stuck sequins,15
5,were green clovers,15
5,lit up flashlights,15
5,exploded fireworks,15
5,got stained white shirts,15
5,rolled shopping carts,15
5,blew away backpacks,0
5,stopped cars,15
5,landed flat notebooks,15
5,popped balloons,15
5,froze chocolate bars,15
5,reflected the sunlight diamonds,15
5,honked bicyclists,0
5,fell down block towers,15
5,flashed webcams,0
5,ran out of batteries phones,3
5,burnt books,15
5,broke logs,4
5,stuck to the wall cakes,5
5,exploded eggs,3
5,laughed lawyers,7
5,dissolved sugar cubes,15
5,beeped old cars,0
5,sank cups,15
5,ate the seeds birds,15
5,rhymed poems,15
5,ripped shirts,15
5,had the letter Z in them birthday cards,0
5,decomposed soda cans,4
6,rolled shopping carts,15
6,stuck sequins,14
6,exploded balls of tin foil,15
6,melted ice cubes,15
6,sank balloons,0
6,burnt books,15
6,were green clovers,15
6,froze chocolate bars,15
6,honked bus drivers,9
6,flashed cameras,8
6,fell down card towers,15
6,dissolved carrots,0
6,rhymed limericks,15
6,stuck to the wall baseballs,0
6,had the letter Z in them birthday cards,4
6,popped eggs,0
6,reflected the sunlight phone screens,15
6,ate the seeds dogs,0
6,blew away backpacks,0
6,broke sunglasses,15
6,decomposed soda cans,0
6,ran out of batteries bike lights,15
6,stopped bicycles,15
6,got stained white carpets,15
6,lit up computers,15
6,exploded candles,0
6,laughed lawyers,11
6,ripped shoes,13
6,beeped new cars,14
6,landed flat coins,14
7,laughed kids,6
7,melted crayons,15
7,ripped shirts,12
7,broke boxes,15
7,stopped cars,15
7,blew away backpacks,5
7,sank marbles,15
7,burnt matches,15
7,popped bubbles,15
7,lit up flashlights,15
7,exploded fireworks,10
7,dissolved oreos,15
7,stuck to the wall baseballs,0
7,froze berries,15
7,flashed cameras,9
7,honked taxi drivers,15
7,exploded eggs,5
7,landed flat notebooks,15
7,got stained white shirts,15
7,decomposed pinecones,0
7,rhymed limericks,7
7,ate the seeds birds,1
7,stuck sequins,13
7,were green bananas,3
7,had the letter Z in them novels,15
7,beeped new cars,7
7,fell down block towers,12
7,reflected the sunlight mirrors,12
7,rolled wheelchairs,7
7,ran out of batteries phones,4
8,popped balloons,15
8,dissolved sugar cubes,15
8,were green bananas,4
8,rhymed songs,8
8,exploded candles,0
8,rolled shopping carts,14
8,stuck to the wall pieces of gum,3
8,fell down block towers,15
8,got stained white carpets,15
8,melted ice cubes,15
8,flashed cameras,8
8,honked bicyclists,1
8,lit up flashlights,15
8,sank marbles,15
8,decomposed banana peels,15
